Year,Title,IMDb,RottenTomatoes,Service
2013,The Garden of Words,7.5,73,Netflix
2019,Fractured,6.4,73,"Prime Video, Netflix"
2006,The Queen,7.3,73,Netflix
2000,The Whole Nine Yards,6.7,72,Netflix
2014,E-Team,7.1,72,Netflix
2017,The Discovery,6.3,72,Netflix
2008,The Strangers,6.2,72,Netflix
2014,Penguins of Madagascar,6.7,72,Netflix
2010,She's Out of My League,6.4,72,"Prime Video, Netflix"
2017,Voyeur,6.2,72,Netflix
2017,It Comes at Night,6.2,72,Netflix
2004,The Manchurian Candidate,6.6,72,"Prime Video, Netflix"
2017,Bon Cop Bad Cop 2,6.7,72,Netflix
2007,Hot Rod,6.7,72,"Prime Video, Netflix"
2016,The BFG,6.4,72,Netflix
2018,Sunday's Illness,6.9,72,Netflix
2012,The Lorax,6.4,72,"Hulu, Netflix"
2017,Win It All,6.2,72,Netflix
2018,Mile 22,6.1,72,Netflix
2006,Tenacious D in The Pick of Destiny,6.8,72,Netflix
2002,The Sum of All Fears,6.4,72,Netflix
2004,G.O.R.A.,8,72,Netflix
2019,The Perfect Date,5.8,72,Netflix
2019,Code 8,6.1,72,Netflix
2014,Cowspiracy: The Sustainability Secret,8.2,72,Netflix
2010,Life As We Know It,6.5,72,Netflix
2017,American Assassin,6.2,72,Netflix
2013,August: Osage County,7.2,72,Netflix
1998,Kuch Kuch Hota Hai,7.6,72,Netflix
2014,Who Am I,7.5,72,Netflix
2016,Free State of Jones,6.9,72,Netflix
2008,Beast Stalker,6.8,72,Netflix
2013,Dark Skies,6.3,72,Netflix
2013,Safe Haven,6.7,72,Netflix
2017,Bāhubali 2: The Conclusion,8.2,72,Netflix
2018,Outlaw King,6.9,72,Netflix
2013,Cloudy with a Chance of Meatballs 2,6.4,72,Netflix
2013,Turbo,6.4,72,Netflix
2009,G.I. Joe: The Rise of Cobra,5.8,72,Netflix
2013,Horns,6.5,72,Netflix
2015,Drishyam,8.2,72,Netflix
2019,Triple Frontier,6.4,72,Netflix
2016,"Hail, Caesar!",6.3,72,Netflix
2021,The Ice Road,5.6,72,Netflix
2006,Monster House,6.6,72,Netflix
2019,Freaks,6.7,72,Netflix
2008,Felon,7.4,72,Netflix
2020,Horse Girl,6,72,Netflix
2017,A Christmas Prince,5.8,72,"Prime Video, Netflix"
2020,Hillbilly Elegy,6.7,72,Netflix
2015,American Ultra,6.1,72,Netflix
2018,First Match,6.4,72,Netflix
1993,The Pelican Brief,6.6,72,Netflix
2010,The Tourist,6,72,Netflix
2017,The Dawn Wall,8.1,72,Netflix
2020,I'm Thinking of Ending Things,6.6,71,Netflix
2004,Shutter,7.1,71,Netflix
2007,Surf's Up,6.7,71,"Prime Video, Netflix"
2012,The Twilight Saga: Breaking Dawn - Part 2,5.5,71,Netflix
2017,Jagga Jasoos,6.5,71,Netflix
2018,The Burial of Kojo,6.5,71,Netflix
1997,My Best Friend's Wedding,6.3,71,Netflix
2007,Bee Movie,6.1,71,Netflix
2015,Seoul Searching,7,71,Netflix
2017,Before I Fall,6.5,71,Netflix
2017,The Babysitter,6.3,71,Netflix
2019,After,5.3,71,Netflix
2014,"As Above, So Below",6.2,71,Netflix
2013,Bo Burnham: What.,8.4,71,Netflix
2018,Stree,7.6,71,"Prime Video, Netflix"
2019,Velvet Buzzsaw,5.7,71,Netflix
2012,Savages,6.5,71,Netflix
2015,Jupiter Ascending,5.3,71,Netflix
2016,Spectral,6.3,71,Netflix
2010,Resident Evil: Afterlife,5.8,71,"Hulu, Netflix"
2006,Accepted,6.4,71,Netflix
2019,"Live Twice, Love Once",7.2,71,Netflix
2018,Iliza Shlesinger: Elder Millennial,7.2,71,Netflix
2011,Zindagi Na Milegi Dobara,8.2,71,Netflix
2017,Free Fire,6.4,71,Netflix
2018,Soorma,7.4,71,Netflix
2017,The Zookeeper's Wife,7,71,Netflix
2018,Time Share,6,71,Netflix
2019,The Outpost,6.8,71,Netflix
2019,Kabir Singh,7.1,71,Netflix
2019,Homecoming: A Film by Beyoncé,7.5,71,Netflix
2020,Jerry Seinfeld: 23 Hours to Kill,6.7,71,Netflix
2019,Ip Man 4: The Finale,7,71,Netflix
2019,The Laundromat,6.3,71,Netflix
2017,The 12th Man,7.4,71,"Hulu, Netflix"
2020,Bad Trip,6.6,71,Netflix
2014,Mr. Peabody & Sherman,6.8,71,Netflix
2015,Ip Man 3,7.1,71,Netflix
2006,Rang De Basanti,8.1,71,Netflix
2020,The Midnight Sky,5.6,71,Netflix
2016,Mr. Right,6.4,71,Netflix
1954,White Christmas,7.6,71,Netflix
2020,Synchronic,6.2,71,Netflix
2018,Adrift,6.6,70,Netflix
2019,The Game Changers,7.9,70,Netflix
2019,Michelle Wolf: Joke Show,7.2,70,Netflix
2020,Da 5 Bloods,6.5,70,Netflix
2010,The American,6.3,70,"Prime Video, Netflix"
2019,The Best of Enemies,7.2,70,Netflix
2017,Forgotten,7.5,70,"Prime Video, Netflix"
2017,I Don't Feel at Home in This World Anymore,6.9,70,Netflix
1979,Lupin the Third: The Castle of Cagliostro,7.6,70,Netflix
2008,Never Back Down,6.6,70,Netflix
2021,Fear Street: 1666,6.7,70,Netflix
2005,Zathura: A Space Adventure,6.2,70,Netflix
2019,"Faith, Hope & Love",6.2,70,Netflix
